@relation 'horsedata1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,18-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.NumericToNominal-R18-23'

@attribute surgery {no,yes}
@attribute age {adult,young}
@attribute rectal_temp numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_of_extremities {cool,cold,normal,warm}
@attribute peripheral_pulse {reduced,normal,absent,increased}
@attribute mucous_membrane {normal_pink,dark_cyanotic,bright_pink,pale_cyanotic,pale_pink,bright_red}
@attribute capillary_refill_time {more_3_sec,less_3_sec,3}
@attribute pain {extreme_pain,depressed,alert,severe_pain,mild_pain}
@attribute peristalsis {absent,normal,hypomotile,hypermotile}
@attribute abdominal_distention {severe,none,slight,moderate}
@attribute rectal_exam_feces {decreased,absent,normal,increased}
@attribute abdomen {distend_large,normal,distend_small,other,firm}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute surgical_lesion {no,yes}
@attribute lesion {0,1}
@attribute lesion_site {0,1,2,3,4,5,6,7,8,9,11}
@attribute lesion_type {0,1,2,3,4}
@attribute lesion_subtype {0,1,2,3}
@attribute lesion_code {0,1,2,3,4,5,6,7,8,9,10}
@attribute outcome_binary {0,1}

@data
no,adult,38.8,50,20,cool,normal,normal_pink,less_3_sec,alert,hypermotile,none,decreased,normal,42,6.2,no,0,0,0,0,0,1
no,adult,37.5,48,30,cold,normal,pale_pink,less_3_sec,alert,normal,none,normal,normal,48,8.6,no,0,0,0,0,0,1
yes,adult,37.3,48,20,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,decreased,distend_large,41,69,yes,1,3,2,0,5,1
no,adult,38.2,84,36,normal,normal,pale_pink,less_3_sec,alert,hypomotile,none,decreased,other,44,8.5,yes,1,3,1,1,1,1
no,adult,37.7,44,40,warm,normal,pale_pink,less_3_sec,alert,hypomotile,slight,normal,distend_large,41,60,no,0,0,0,0,0,1
no,adult,39.6,108,51,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,decreased,distend_large,59,8,no,1,4,3,0,0,1
yes,adult,38.2,40,16,cool,reduced,normal_pink,less_3_sec,alert,hypomotile,none,normal,normal,34,66,no,0,0,0,0,0,1
no,adult,38.3,40,16,cool,normal,normal_pink,less_3_sec,depressed,normal,none,absent,normal,37,57,no,0,0,0,0,0,1
yes,young,38,140,68,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,increased,normal,39,5.3,yes,1,7,1,1,1,1
yes,adult,38.2,70,36,normal,normal,pale_pink,more_3_sec,depressed,hypomotile,slight,absent,distend_large,36,7.3,yes,1,3,1,1,10,1
yes,adult,38.3,52,96,cool,reduced,pale_pink,less_3_sec,alert,normal,none,normal,normal,43,6.1,yes,1,3,2,0,9,1
yes,adult,38.3,40,16,cool,normal,normal_pink,less_3_sec,alert,hypomotile,slight,absent,normal,38,58,yes,1,3,1,1,1,1
yes,adult,38.2,40,30,warm,normal,normal_pink,less_3_sec,alert,hypomotile,none,absent,distend_large,39,56,yes,1,3,1,1,1,1
yes,adult,38.4,44,24,cool,normal,pale_cyanotic,3,extreme_pain,absent,moderate,absent,distend_large,50,77,yes,1,3,2,0,5,1
no,adult,38.2,72,40,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,absent,normal,45,70,no,0,0,0,0,0,1
yes,adult,38,44,12,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,absent,distend_large,42,65,yes,1,3,2,0,5,1
yes,adult,36.5,78,30,normal,normal,normal_pink,less_3_sec,extreme_pain,hypomotile,none,absent,normal,34,75,yes,1,3,1,1,2,1
no,adult,38.1,56,20,warm,normal,bright_pink,less_3_sec,alert,hypomotile,none,absent,normal,46,70,no,0,0,0,0,0,1
yes,adult,39.4,54,66,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,decreased,distend_small,39,6,yes,1,2,2,0,6,1
no,adult,38.7,40,28,warm,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,normal,normal,39,62,no,0,0,0,0,0,1
yes,adult,38,42,68,cold,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,absent,distend_small,41,7.6,yes,1,2,2,0,5,1
yes,adult,38.7,72,30,cool,normal,pale_pink,less_3_sec,extreme_pain,absent,slight,absent,normal,33,6.5,yes,1,3,1,1,10,1
yes,adult,38.4,49,30,normal,normal,normal_pink,less_3_sec,alert,normal,none,absent,normal,44,7.6,yes,1,2,2,0,6,1
no,adult,37.9,40,24,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,absent,firm,40,5.7,yes,1,4,0,0,9,1
yes,adult,38,48,30,normal,normal,normal_pink,less_3_sec,alert,normal,severe,absent,distend_large,46,7.2,yes,1,3,1,1,1,1
no,adult,38,56,30,normal,increased,pale_pink,less_3_sec,alert,hypermotile,none,normal,normal,42,71,no,0,0,0,0,0,1
no,adult,38,60,32,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,absent,normal,50,7,no,0,0,0,0,0,1
yes,adult,38.1,44,9,cool,normal,normal_pink,less_3_sec,depressed,normal,none,absent,distend_large,31,7.3,no,1,5,1,2,4,1
yes,adult,37.8,48,28,normal,normal,normal_pink,more_3_sec,alert,normal,none,normal,normal,46,5.9,no,0,0,0,0,0,1
no,adult,38.2,80,32,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,decreased,normal,50,80,yes,0,0,0,0,0,1
yes,adult,38.2,48,30,normal,reduced,pale_pink,less_3_sec,mild_pain,absent,severe,absent,distend_large,42,71,yes,1,3,1,1,1,1
yes,adult,38.3,132,30,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,absent,distend_small,57,8,yes,1,2,1,1,2,1
no,adult,38.7,48,24,normal,normal,normal_pink,3,alert,hypermotile,none,normal,normal,34,63,no,0,0,0,0,0,1
no,adult,38.9,44,14,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,absent,other,33,64,no,0,0,0,0,0,1
yes,adult,38.2,100,30,cool,reduced,pale_cyanotic,more_3_sec,alert,absent,severe,absent,normal,68,64,yes,1,2,2,0,9,1
no,adult,38.6,48,20,cool,normal,normal_pink,less_3_sec,alert,hypomotile,slight,decreased,other,50,7.3,no,1,3,1,1,1,1
no,adult,38.8,48,40,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,severe,absent,distend_large,41,65,yes,1,4,1,2,4,1
no,adult,38,48,20,cool,reduced,pale_cyanotic,less_3_sec,alert,absent,slight,absent,other,49,8.3,no,1,4,0,0,9,1
no,adult,38.6,52,20,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,normal,firm,36,6.6,no,0,0,0,0,0,1
no,adult,38,42,40,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,absent,normal,46,7.2,no,1,3,1,1,1,1
no,adult,38.2,72,12,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,normal,firm,44,7.5,no,0,0,0,0,0,1
yes,adult,38.2,72,30,normal,normal,normal_pink,3,severe_pain,normal,none,absent,distend_large,35,58,yes,1,4,2,0,5,1
no,adult,39.5,60,10,cool,normal,normal_pink,more_3_sec,mild_pain,hypomotile,slight,decreased,normal,38,56,no,0,0,0,0,0,1
yes,adult,38.7,76,30,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,slight,absent,distend_small,50,8,yes,1,2,2,0,8,1
yes,adult,38.3,40,18,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,increased,normal,43,5.9,no,0,0,0,0,0,1
no,adult,38.2,44,24,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,absent,normal,46,6.3,no,1,3,1,1,1,1
yes,adult,38.4,104,40,normal,normal,pale_pink,less_3_sec,depressed,absent,slight,absent,distend_small,55,8.5,yes,1,2,1,2,4,1
no,adult,37.5,44,20,normal,normal,pale_pink,less_3_sec,alert,hypermotile,none,normal,normal,35,7.2,no,0,0,0,0,0,1
yes,adult,38.5,129,48,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,absent,normal,57,66,yes,1,2,2,0,6,1
yes,adult,38.2,72,30,normal,normal,normal_pink,3,alert,normal,none,absent,normal,46,7.2,yes,1,2,2,0,8,1
yes,adult,38.2,60,30,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,decreased,other,48,66,yes,1,6,1,1,2,1
yes,adult,38.2,60,30,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,absent,normal,45,70,yes,1,6,1,1,1,1
no,adult,37.8,48,14,normal,normal,normal_pink,less_3_sec,mild_pain,normal,slight,normal,normal,35,7.5,no,1,3,1,1,1,1
no,adult,37.8,56,16,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,none,normal,normal,44,68,no,0,0,0,0,0,1
no,adult,38.2,68,32,warm,increased,bright_pink,less_3_sec,alert,hypermotile,none,normal,normal,43,65,no,0,0,0,0,0,1
yes,adult,38.5,120,60,cold,reduced,dark_cyanotic,more_3_sec,alert,hypomotile,none,absent,normal,54,7.2,yes,1,5,4,0,0,1
yes,adult,39.3,64,90,warm,reduced,normal_pink,less_3_sec,alert,hypomotile,none,absent,normal,39,6.7,yes,1,2,1,1,10,1
yes,adult,38.4,80,30,cold,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,absent,distend_large,32,6.1,yes,1,7,2,0,9,1
yes,adult,38.5,60,30,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,absent,normal,33,53,yes,1,4,1,1,1,1
yes,adult,38.3,60,16,cool,normal,normal_pink,less_3_sec,depressed,hypermotile,none,normal,distend_small,30,6,yes,1,3,1,1,10,1
yes,adult,37.1,40,8,normal,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,none,decreased,firm,23,6.7,yes,1,3,1,3,3,1
no,young,38.2,100,44,warm,normal,normal_pink,less_3_sec,severe_pain,hypermotile,none,normal,normal,37,4.7,no,1,7,1,1,1,1
yes,adult,38.2,48,18,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,absent,normal,48,74,yes,1,5,1,1,1,1
no,adult,37.9,88,24,normal,normal,bright_pink,less_3_sec,depressed,normal,none,absent,normal,37,56,no,0,0,0,0,0,1
no,adult,38,44,12,cool,normal,normal_pink,3,alert,hypermotile,slight,normal,normal,42,64,no,0,0,0,0,0,1
no,adult,38.3,60,20,normal,normal,normal_pink,more_3_sec,alert,hypomotile,none,decreased,normal,34,66,no,0,0,0,0,0,1
no,adult,38.5,60,40,cool,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,decreased,other,49,59,no,0,0,0,0,0,1
yes,adult,37.3,48,12,normal,normal,pale_pink,less_3_sec,mild_pain,hypermotile,moderate,decreased,firm,40,6.6,yes,1,3,2,0,5,1
no,adult,37.2,36,9,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,absent,normal,35,5.7,no,1,3,1,1,10,1
yes,adult,39.2,72,23,cool,normal,pale_pink,less_3_sec,severe_pain,absent,slight,absent,normal,36,6.6,yes,1,3,1,1,5,1
yes,adult,38.5,96,30,warm,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,decreased,distend_large,50,65,yes,1,6,1,1,1,1
no,adult,37.5,44,10,cool,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,decreased,firm,43,51,no,0,0,0,0,0,1
yes,young,38.9,120,30,normal,reduced,bright_pink,more_3_sec,mild_pain,hypomotile,moderate,absent,normal,47,6.3,no,1,2,1,2,4,1
yes,adult,37.6,45,12,cool,normal,pale_pink,less_3_sec,alert,normal,slight,normal,distend_small,39,7,yes,1,2,1,1,2,1
no,adult,38.6,56,32,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,increased,normal,40,7,no,0,0,0,0,0,1
yes,adult,37.8,40,12,normal,normal,normal_pink,less_3_sec,alert,normal,none,normal,other,38,7,yes,1,3,1,1,1,1
no,adult,38.2,72,30,normal,normal,normal_pink,3,alert,normal,none,absent,normal,46,7.2,no,0,0,0,0,0,1
yes,adult,38,76,18,normal,normal,normal_pink,more_3_sec,alert,normal,none,absent,normal,71,11,yes,1,2,2,0,9,1
yes,adult,38.2,52,28,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,absent,distend_small,37,8.1,yes,1,2,1,1,1,1
yes,adult,38.5,92,40,cold,reduced,normal_pink,less_3_sec,depressed,absent,moderate,absent,normal,46,67,yes,1,2,2,0,8,1
yes,adult,38.2,112,13,cold,absent,pale_cyanotic,less_3_sec,depressed,hypomotile,none,absent,distend_small,60,6.3,yes,1,2,2,0,5,1
yes,adult,37.7,66,12,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,absent,distend_small,31.5,6.2,yes,1,2,2,0,8,1
yes,adult,38.8,50,14,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,decreased,distend_large,38,58,yes,1,3,1,1,1,1
no,adult,38.4,54,24,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,decreased,other,49,7.2,no,1,3,1,1,1,1
yes,young,38.2,72,30,normal,normal,normal_pink,3,alert,normal,none,absent,normal,45,6.5,yes,1,9,0,0,0,1
yes,young,38.5,120,70,normal,normal,normal_pink,3,alert,hypermotile,none,normal,normal,35,54,yes,1,4,2,0,5,1
yes,adult,38.5,104,40,cool,reduced,normal_pink,less_3_sec,severe_pain,hypomotile,severe,absent,normal,46,7.2,yes,1,2,1,2,4,1
yes,adult,38.5,30,18,normal,normal,normal_pink,3,alert,normal,none,absent,normal,40,7.7,yes,1,2,1,1,3,1
yes,adult,38.3,72,30,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,decreased,distend_large,43,7,yes,1,3,1,1,3,1
no,adult,37.5,48,30,cold,normal,pale_pink,less_3_sec,alert,normal,none,normal,normal,48,8.6,no,1,4,0,0,9,1
no,adult,38.2,42,26,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,normal,normal,36,6.9,no,1,3,1,1,1,1
no,adult,37.9,54,42,warm,normal,bright_red,less_3_sec,mild_pain,hypermotile,none,absent,other,47,54,no,0,0,0,0,0,1
yes,adult,38.2,52,16,normal,normal,bright_pink,less_3_sec,alert,normal,none,normal,normal,43,8.1,no,0,0,0,0,0,1
yes,adult,38.4,92,20,normal,normal,normal_pink,more_3_sec,alert,hypomotile,moderate,normal,normal,46,7.2,yes,1,2,2,0,8,1
yes,young,38.2,124,88,normal,reduced,bright_pink,less_3_sec,depressed,hypomotile,severe,absent,normal,47,8,yes,1,9,4,0,0,1
yes,adult,37.6,68,32,cool,normal,pale_pink,less_3_sec,severe_pain,normal,severe,normal,distend_large,47,7.2,yes,1,3,2,0,9,1
yes,adult,38,108,60,warm,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,moderate,decreased,distend_small,46,7.2,yes,1,2,2,0,5,1
no,adult,38.2,48,30,warm,normal,normal_pink,more_3_sec,mild_pain,hypomotile,none,absent,other,34,6.6,no,1,3,1,1,1,1
no,adult,38.2,112,24,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,slight,absent,normal,40,5.3,no,1,4,0,0,9,1
yes,adult,38.2,80,30,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,severe,absent,distend_large,43,70,yes,1,3,1,1,1,1
no,adult,37.5,52,12,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,decreased,distend_large,36,61,no,0,0,0,0,0,1
no,adult,38,40,25,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,absent,normal,37,69,no,0,0,0,0,0,1
no,adult,38.4,48,16,warm,normal,normal_pink,less_3_sec,alert,normal,slight,absent,other,39,6.5,no,1,3,1,1,1,1
no,young,38.6,88,28,normal,normal,normal_pink,3,alert,normal,none,absent,normal,35,5.9,no,0,0,0,0,0,1
yes,adult,38.3,44,21,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,normal,distend_large,44,6.5,yes,1,2,2,0,9,1
no,adult,38.6,68,20,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,normal,distend_large,38,6.5,no,1,5,1,2,4,1
no,adult,38.3,54,18,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,absent,distend_small,44,7.2,no,1,2,1,2,4,1
yes,adult,38.2,42,20,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,decreased,normal,47,60,no,0,0,0,0,0,1
yes,adult,39.3,64,90,warm,reduced,normal_pink,less_3_sec,alert,hypomotile,none,normal,distend_large,39,6.7,yes,1,3,1,1,10,1
yes,adult,37.7,80,30,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,none,decreased,normal,50,55,yes,1,4,2,0,6,1
yes,adult,38.2,100,30,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,absent,distend_small,52,6.6,yes,1,2,1,2,4,1
no,adult,36.9,50,40,warm,reduced,pale_pink,less_3_sec,alert,hypomotile,slight,absent,normal,37.5,6.5,no,1,3,1,1,1,1
no,adult,37.8,40,16,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,normal,normal,37,6.8,no,0,0,0,0,0,1
no,adult,38.2,56,40,cold,reduced,normal_pink,less_3_sec,depressed,absent,moderate,absent,normal,47,7.2,no,1,8,3,0,0,1
yes,adult,38.6,48,12,normal,normal,normal_pink,3,alert,hypermotile,none,absent,normal,36,67,no,0,0,0,0,0,1
yes,adult,38.2,72,18,normal,normal,normal_pink,3,alert,normal,none,absent,normal,35,6.4,yes,1,3,1,2,4,1
no,adult,38.5,54,30,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,normal,normal,40,6.8,no,0,0,0,0,0,1
yes,adult,38.5,66,24,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,absent,distend_large,40,6.7,yes,1,3,1,1,10,1
no,young,39.5,84,30,normal,normal,normal_pink,less_3_sec,alert,normal,none,absent,normal,28,5,no,0,0,0,0,0,1
yes,adult,38.2,72,30,normal,normal,normal_pink,3,alert,normal,none,absent,normal,46,7.2,yes,1,2,1,2,4,1
yes,adult,38,50,36,normal,normal,normal_pink,less_3_sec,mild_pain,normal,slight,decreased,normal,39,6.6,yes,1,8,4,0,0,1
no,adult,38.6,45,16,warm,normal,bright_pink,less_3_sec,alert,hypermotile,none,normal,normal,43,58,no,0,0,0,0,0,1
no,adult,38.5,40,16,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,none,decreased,other,37,67,no,0,0,0,0,0,1
yes,adult,36.5,100,24,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,absent,distend_small,50,6,yes,1,2,2,0,8,1
